,Unnamed: 0,source,reference,translation,avg-score,z-score
12,12,Společnost True Companion na svých webových stránkách připodobňuje Roxxxy k vibrátoru pro muže.,on its website  true companion likens roxxxy to a vibrator for men ,on its website  true companion likened roxxxy to a vibrator  but for men ,43.67015,-1.1625763
13,13,Protože v roce 1783 Washington řekl: „Svoboda projevu nám může být odejmuta - a hloupí a němí budeme vedeni jako ovce na porážku.“,because in       washington said   freedom of speech can be taken away from us   and stupid and mute will be led like sheep to slaughter  ,because back in       washington said   the freedom of speech may be taken away   and  dumb   silent we may be led  like sheep  to the slaughter  ,55.28118,-0.6537213
14,14,Kvůli těmto zákonům o výhradě svědomí Kalifornie zakázala financování cest svých občanů do osmi států unie ze svých prostředků.,because of these laws of conscience  california has banned the financing of the travel of its citizens to the eight states of the union by its means ,because of these conscientious objection laws  california has placed a ban on funding its citizens  journeys to eight states from its own means ,38.179916,-1.4031867
15,15,"„Když jsem se otočil, někdo mě střelil do levého zápěstí,“ řekl týdeníku TIME na verandě svého pestře malovaného dřevěného domu.",when i turned around  someone shot me in the left wrist   he told the weekly time on the porch of his pestle painted wooden house ,when i turned around i suddenly got shot in my left wrist   he told time on the porch of his brightly painted wooden house ,84.25753,0.61617136
16,16,"„Jak bychom jen mohli pomyslet na odchod,“ řekl Bojorquez, „když mě ve stejný den, kdy byl zabit Javier, jedna internistka požádala, abych jí vyslal do ulic?“",how could we possibly think of leaving   bojorquez said   when on the same day javier was killed  one intern asked me to send her to the streets  ,how can you even think of closing   bojorquez said   when the same day javier was killed the intern asked me to send her out to report on the street  ,33.823517,-1.5941066
17,17,"Chodili jsme kolem našeho bloku, naši přátelé vzali auta a jezdili po okolí, ale hledali jsme marně.",we walked around our block  our friends took cars and drove around the area  but we searched in vain ,we walked around our block  our friends took their cars and drove around  but our search was in vain ,78.91567,0.3820637
18,18,"Možná jdu trochu proti proudu, ale připadá mi důležité udržet vývoj u nás v České republice.",i may be going a little upstream  but i find it important to maintain our development in the czech republic ,maybe i m going against the current a bit  but it seems important to me to keep the development in the czech republic ,107.81135,1.6484208
19,19,"""Rana zmizela odpoledne, ještě ten den jsme to nahlásili na policii, řekli jsme to novinám i všem našim televizním stanicím, plakáty s její fotkou visely všude,"" pokračoval.",rana disappeared in the afternoon  we reported it to the police that day  we told the newspaper and all our tv stations  the posters with her photo hung everywhere   he continued ,rana disappeared in the afternoon  and we informed the police the same day  we told the newspapers and all the tv stations  and there posters with her photo hanging everywhere   he continued ,72.71111,0.11014799
20,20,"Žena v obchodě se mi s úsměvem omlouvala, když jsem neochotně hodnotila mé předávání kreditní karty pěti hvězdami.",a woman in the store apologised to me with a smile as i reluctantly rated my transfer of a credit card to five stars ,the poor woman in the department store stood grinning apologetically while  wearily  i gave the experience of handing her my credit card five stars ,74.959625,0.20868936
21,21,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,civil rights movement issued travel alert for missouri,civil rights group issues travel warning for missouri,69.545,-0.028607449
22,22,"Tady se Ferrellová se svou dcerou seznámili s místním podnikatelem, který připravoval pro ostatní jídlo.",this is where ferrell and her daughter met a local entrepreneur who was preparing food for others ,there ferrell and her daughter linked up with a local business owner who was making sack lunches ,85.38733,0.665685
23,23,"Je tak možné, že stroj byl ukradený.",it s possible the machine was stolen ,as such  it is possible that the vehicle was stolen ,37.5763,-1.4296402
24,24,Lucka Vondráčková v Česku.,lucka vondrakova in the czech republic ,lucka vondr  kov  in the czech republic ,61.377266,-0.3865595
25,25,"Mora se nechal slyšet, že podporuje rozhodnutí NCAA, přesto, že přidalo další položku do již tak nabitého diáře hráčů.",mora let himself be heard to support the ncaa s decision  despite adding another item to the already charged diaries of the players ,mora said he supported the ncaa s rule change even if it did add another item to players  busy itineraries ,41.180107,-1.2717029
26,26,Minulou noc dorazili další a dnes jich dojede asi ještě víc.',more arrived last night  and there will be more of them today   ,more arrived last night  probably even more today  ,74.761986,0.20002778
27,27,"Začalo se upouštět od levných materiálů a naopak pracovat se zdravotně nezávadnými, začaly se produkovat jiné designy, různé barvy...",it started to get away from cheap materials and  on the contrary  to work with the disabled  other designs  different colors began to be produced   ,manufacturers stopped using cheap materials  and instead began working a healthy approach  they started producing different designs  in various colours   ,38.195076,-1.4025223
28,28,"Garcia uvedl, že uznává Lomačenka jako „úžasného boxera“ a mohl by se zúčastnit jeho sobotního zápasu.",garcia stated that he recognises lomachenko as an  amazing boxer  and could take part in his saturday match ,garcia said he appreciates lomachenko as  a tremendous fighter   and may attend his saturday bout ,88.92035,0.8205201
29,29,Soudní lékař přikrývá 27. července 1946 jedno z těl obětí lynčování u Moore's Ford.,the medical examiner covers on july           one of the bodies of the lynching victims at moore s ford ,a coroner places a sheet over the body of one of the victims of the moore s ford lynching on july          ,78.45567,0.36190417
30,30,"V jednom momentě ho však udeřil tak silně a přímo do nosu, že mladého zpěváka museli ošetřovat lékaři.",at one point  however  he hit him so hard and straight up his nose that the young singer had to be treated by doctors ,at one point  however  he struck him directly on the nose so hard that the young singer had to be treated by doctors ,17.455917,-2.311419
31,31,"Nejčastěji se pohybují v Rakousku, ale spotřebě dat v letní sezóně vévodí Chorvatsko.",they most often move in austria  but the consumption of data in the summer season is dominated by croatia ,they travel in austria most often  but in the summer season the consumption of data is dominated by croatia ,69.88155,-0.013857856
32,32,"Autoři se odklonili od hlavní vtipné pointy - herců středního věku, kteří hrají dospívající nadržené děti - a nemohli si tak utahovat z předešlých událostí.",the authors diverged from the main funny point   middle aged actors playing teenage horny children   and couldn t make fun of previous events ,by doubling down on the core gag   middle age actors playing horny kids coming of age   it made the impossibility of recapturing the past part of the joke ,82.34652,0.53242105
33,33,Vedro v Česku.,heat in the czech republic ,heatwave in the czech republic ,43.62018,-1.1647664
34,34,"Australských smrtonošů zmijích přišlo na svět osm, jsou to potomci chovného páru původem z populace v okolí Sydney.",australia s deadly vipers have come to world eight  they are the descendants of a breeding couple originally from a population in and around sydney ,eight australian death adders have been born  and are the descendants of a breeding pair from the population around sydney ,68.80017,-0.06124961
35,35,Kalifornie může být Kalifornií a Texas může být Texasem.,california may be california  and texas could be texas ,california can be california  and texas can be texas ,18.278387,-2.275374
36,36,Z tohoto pohledu vyjadřuje socha naději a naslouchá jejich potřebám.,from this perspective  the statue expresses hope and listens to their needs ,her statue speaks back to them the words of hope and welcome they need to hear ,83.325745,0.57533574
37,37,Řidiči dostávají vodu či letní stejnokroj.,drivers get water or summer uniforms ,drivers receive water or a summer uniform ,30.497362,-1.7398758
38,38,Tiskový mluvčí správní rady města Solihull řekl: ‚Jsme si vědomi neoprávněného pobytu na pozemku poblíž Streetsbrook Road a ve spolupráci s místní policií podnikáme nezbytné právní kroky ke zdárnému vyřešení celého problému.,a press spokesman for the board of the city of solihull said   we are aware of an unauthorised stay at a property near streetsbrook road and  in collaboration with local police  we are taking the necessary legal action to successfully resolve the whole problem ,a spokeswoman for solihull council said   we are aware of an unauthorised encampment on land off streetsbrook road and working alongside solihull police  we are undertaking the necessary legal actions to move them on as quickly as possible ,87.97927,0.7792772
39,39,STAN už nějakou dobu připomíná spíš reality show než skutečnou politickou stranu a Dědkova pomocná ruka jako by z žádané nevěsty ještě víc dělala prodejnou holku.,the tent had been more of a reality show than a real political party for some time  and children s helping hand seemed to make the desired bride even more of a sales girl ,for some time now  stan has been acting more like a reality show than a real political party  and d dek s helping hand seems to be making a shop assistant out of a sought after bride ,62.334564,-0.34460574
40,40,A to není vše.,and that s not all ,there were other changes  too ,47.641823,-0.9885173
41,41,"Média zveřejnila slova prezidenta Donalda Trumpa o novém imigračním plánu USA, v jehož rámci dojde také na změnu při udělování zelené karty.",the media has released president donald trump s words on a new us immigration plan  under which there will also be a change in the granting of a green card ,there is going to be new us immigration plan to modify green card rules  president donald trump said  quoted by the media ,88.39642,0.79755896
42,42,"Až vloni na podzim vláda schválila odkup vepřína a rozhodla o tom, aby byl vypracován znalecký posudek k určení ceny.",it was not until last autumn that the government approved the purchase of the veto and decided to draw up an expert report to determine the price ,at least  that was until autumn of this year  when the government approved the purchase of the pig farm and decided to call an expert judgment to determine the price ,74.446175,0.18618731
43,43,"Podobně jako Glint dovoluje Convercent společnostem odesílat přizpůsobitelné „bleskové“ průzkumy, shromažďovat důvěrné informace v reálném čase a zobrazovat teplotní mapy problémových oblastí.",like glint  convercent allows companies to send customizable  flash  surveys  collect confidential information in real time  and display temperature maps of problem areas ,like glint  convercent lets companies send customized  pulse  surveys  gather confidential responses in real time  and view heat maps of its problem areas ,84.74858,0.63769174
44,44,"Těžce obrněný dinosaurus využíval červenou a bílou kamufláž k ochraně proti predátorům a používal systém maskování, který používá mnoho dnešních zvířat.",the heavily armoured dinosaur used red and white camouflage to protect against predators  using a camouflage system used by many of today s animals ,the heavily armoured dinosaur used red and white camouflage to hide from predators  and employed a shielding technique known as counter shading  which is also used by many modern day animals ,68.91888,-0.056047313
45,45,Dokázal se po nich vrátit k práci i na tenisový kurt a na lyžařské sjezdovky.,he was able to get back to work on the tennis court and ski slopes ,afterwards  he was able to go back to working on the tennis court and the ski slopes ,54.348915,-0.694578
46,46,"Ukázalo se, že je také obratný v používání Facebooku jako hlavního prostředku ke spojení se svými voliči - výjimkou není ani zveřejnění první fotografie s holou hlavou po absolvování chemoterapie.",it turns out he is also skilful in using facebook as the main means to connect with his constituents   the exception is not even the publication of the first photo with a bald head after undergoing chemotherapy ,he s also been pretty deft at using facebook as a primary means to connect with his constituents  playfully debuting his hairless head after chemo treatments on his page ,80.64399,0.45780745
47,47,"Slečna Knoxová (30) zveřejnila vyjádření v Los Angeles Times: „Michelle Carterová si zaslouží pochopení a pomoc, ne vězení.“",ms  knox      posted a statement in the los angeles times   michelle carter deserves understanding and help  not prison  ,ms knox      published an op ed in the los angeles times saying   michelle carter deserves sympathy and help  not prison  ,108.679,1.6864458
48,48,Pak už se objali a fotografům ochotně pózovali.,then they embraced  and the photographers willingly posed ,then they hugged and willingly posed for the photographers ,66.733734,-0.1518115
49,49,To je takový bezdotykový stimulátor klitorisu.,it s kind of a clitoris pacemaker ,it is a kind of contactless clitoris stimulator ,74.56523,0.191405
50,50,"Potíž je v tom, řekl redaktor Riodoce Andres Villarreal, že „čich je smysl, který lze ošálit... a pak došlo k té věci s Javierem.“",the trouble is  said riodoce editor andres villarreal  that  smell is a sense that can be fooled    and then there was that thing with javier  ,the trouble  said riodoce editor andres villarreal  is that  smell is a sense that can be fooled     and then the thing with javier happened  ,76.853065,0.29166967
51,51,"Podle zpravodajů otřásly sebevražedné útoky, ke kterým doškol v nedávných týdnech důvěrou veřejnosti ve vládu, její nařízení a obzvláště v reputaci prezidenta Ašrafa Ghanína.",according to the rapporteurs  they have been rocked by suicide attacks in recent weeks by public confidence in the government  its regulations  and particularly in the reputation of president ashraffe ghana ,correspondents say the suicide bombings in kabul in recent weeks have also created a crisis of public confidence in the government  its policies and in particular the reputation of president ashraf ghani ,83.596664,0.58720887
52,52,"Potřebovala se rozvíjet nejen v aktivismu a organizování, ale musela zároveň poznat rozdíl mezi různými vrstvami zkušeností s černochy a co musíme udělat pro to, abychom se osvobodili.",she needed to develop not only in activism and organizing  but she also had to tell the difference between different layers of experience with black people and what we need to do to free ourselves ,she needs to be well developed in the area of not just activism and organizing but knowing the different layers of the black experience and the black condition and what we must do to get free  to free ourselves ,99.24342,1.2729303
53,53,"Koncepce, že stát má financovat a stavět nové jaderné bloky, je absurdní.",the concept that the state is supposed to fund and build new nuclear blocks is absurd ,the idea that the state should finance and build new nuclear blocks is absurd ,98.1706,1.2259138
54,54,"Posledním exemplářem výstavy, umístěným v samostatné místnosti, je jediná stránka z výše uvedené grafické novely.",the last copy of the exhibition  located in a separate room  is the only page from the above graphic novel ,the final piece in the exhibition  which is contained in a single room  is one page from the aforementioned graphic novella ,61.362656,-0.3871998
55,55,Kdysi takhle začínal i Vít Bárta a moc slušně to nedopadlo.,he used to start out like that  and it didn t work out very well ,v t b rta also started once  and it did not work out well ,88.65987,0.8091044
56,56,"My jsme, narozdíl od socanů, nikdy neměli korupční aféru, žádného Peltu, Kratochvílovou, Březinu.",we  unlike the statues  have never had a corruption affair  no peltu  kratochenko  brezina ,unlike the social democrats  we have never had any corruption scandals  no pelts  no kratochv lov   no b ezinas ,81.140915,0.47958526
57,57,"Zapomeňte na chvíli, že slovem „příměří“ se myslí, že jeden drogový kartel ovládá pobřežní stát s drahocennými přístavy a důležité trasy, kterými putují do Spojených států drogy.",forget for a moment that the word  ceasefire  means that one drug cartel controls a coastal state with precious ports and important routes through which drugs travel to the united states ,forget for a minute that a state of  calm  is when just one cartel is in control of the coastal state with its valuable ports and drug trafficking routes to the united states ,98.05377,1.2207937
58,58,"Dodal, že Lathem a Warren byli zachyceni bezpečnostními kamerami.",he added that lathem and warren were caught by security cameras ,lathem and warren were confirmed to be at the building by security cameras  he said ,101.142105,1.3561404
59,59,"Vstup do soutěže s dotací 3,25 milionu dolarů vyšel nejlépe americké hvězdě Michelle Wieové, která vyhrála první kolo v rekordu hřiště 64 ran, tedy osm pod par.",entering the competition with a       million subsidy came out best to american star michelle wiese  who won the first round in a record breaking    rounds  that is  eight under par ,the competition with a       million prize started off best for american star michelle wie  who won the first round with a record of    putts  and a score of eight under par ,114.28735,1.9322327
60,60,"Andrej Babiš se oženil, křižuje republiku se svou vizionářskou knihou a finalizuje volební program.",andrei babi  married  cruises the republic with his visionary book and finalizes the election program ,andrej babi  got married  toured the republic with his visionary book and finalised the electoral programme ,63.956833,-0.2735096
61,61,"Minulý měsíc federální odvolací soud ve Washingtonu rozhodl, že vykonavatel EPA překročil svou autoritu ve snaze oddálit začlenění plánu Obamovy administrativy, která vyžadovala, aby naftové a plynové společnosti snížily úniky metanu.",last month  a federal appeals court in washington ruled that the epa s executor had overstepped his authority in an effort to delay the inclusion of an obama administration plan that required diesel and gas companies to reduce methane leaks ,last month  a federal appeals court in washington ruled the epa administrator overstepped his authority in trying to delay implementation of an obama administration rule requiring oil and gas companies to monitor and reduce methane leaks ,93.92076,1.0396639
62,62,"Vyplývá to z přepisů rozhovorů, které ve čtvrtek zveřejnil americký deník The Washington Post.",it stems from transcripts of interviews released thursday by the american journal of the washington post ,this has emerged from transcripts of the talks published by the us daily the washington post on thursday ,76.87724,0.29272923
63,63,"V odpověď na dotaz ohledně tohoto zvláštního načasování Dewey-Hagborgová uvedla, že „vše se děje z nějakého důvodu“.",in response to a query about this particular timing  dewey hagborg stated that  everything happens for a reason  ,when asked about the peculiar timing of it all  dewey hagborg said that  things happen for a reason  ,83.59616,0.58718675
64,64,"Kayame dosud neví kdo byl střelcem, ale podle jeho slov patřila kulka jednomu z přítomných vojáků.",kayame does not yet know who the shooter was  but according to his words  the bullet belonged to one of the soldiers present ,kayame still doesn t know who fired but says the bullet came from the ranks of amassed soldiers ,55.740112,-0.6336086
65,65,Střelci poté nastoupili do jeho vozu a nedaleko od místa činu jej nabourali.,the gunmen then boarded his vehicle and crashed it not far from the scene ,the gunman drove away in his car and crashed it nearby ,24.310692,-2.0110075
66,66,Dobrou spolupráci s ČSSD by rád vyměnil za ještě lepší s ANO.,good cooperation with  ssd would like to trade for even better with yes ,they would like to exchange the hood cooperation with the  ssd for an even better one with ano ,44.794342,-1.1133085
67,67,"""Později je strhneme z platu soudce,"" žertoval na twitteru kritik Kremlu.",we will later tear them out of the judge s salary   a kremlin critic joked on twitter ,later  we ll take it off the judge s salary   the kremlin critic joked on twitter ,70.39912,0.008824411
68,68,"V továrně pracuje více než 500 zaměstnanců, kteří vyrábějí kromě jiných produktů i sušenky Hobnob a Rich Tea.",more than     employees work at the factory  producing  among other products  hobnob and rich tea cookies ,more than     people work at the plant  which produces hobnobs and rich tea biscuits  among other products ,65.71564,-0.19642974
69,69,V praxi je to ale opačně.,in practice  it s the other way around ,in practice  the opposite turned out to be the case  however ,69.09517,-0.048321273
70,70,"Mluvčí Sikorsky uvedl, že společnost nebyla žádným způsobem zainteresována v jednáních o vystavení helikoptéry na South Lawn.",a spokesperson for sikorsky said the company was not in any way involved in negotiations over the exposure of the helicopter to the south lawn ,a spokesperson for sikorsky said the company was not involved in arranging for the helicopter to be displayed on the south lawn ,96.1454,1.137159
71,71,"Bydlím na Streetsbrook a nemíním dál hradit daně, dokud se správní rada s turisty nevypořádá.'",i live on streetsbrook  and i m not going to continue to pay my taxes until the board of trustees deal with tourists   ,i live on streetsbrook road and i m not happy to continue paying my council tax when the council can t even stop this  ,77.06995,0.3011745
72,72,"Rodina ho urychleně dopravila do nemocnice, tam se však jeho blízcí dozvěděli strašnou zprávu - podle lékařů neměl šanci přežít.",the family rushed him to the hospital  but that s where his loved ones learned the terrible news   according to doctors  he didn t have a chance to survive ,his family quickly took him to the hospital  but his relatives learned terrible news there   the doctors said he had no chance to survive ,73.338806,0.13765673
73,73,"Naší snahou vždy bylo oddělit poctivé atlety od těch nepoctivých,“ ukončil svou řeč.",our effort has always been to separate honest athletes from the dishonest ones   he ended his speech ,the guiding principle has always been that we wanted to separate the clean athletes from the tainted system   he added,57.534187,-0.55498296
74,74,Toho přitom česká policie obvinila už v roce 2014 z daňových úniků a stíhá ho na útěku.,in       the czech police accused him of tax evasion and prosecuting him on the run ,however the czech police accused him of tax evasion in      and has been pursuing him in absentia ,76.01912,0.25512183
75,75,Informaci uvedl web Reuters.,the information was reported by the reuters website ,reuters reported on the story ,43.57438,-1.1667736
76,76,"Nemluvě o šílené zápletce, která zahrnuje Ronalda Reagana (také pan Showalter), jehož podněcuje George H. W. Bush (velmi dobře obsazený Michael Ian Black).",not to mention the crazy plot that includes ronald reagan  also mr  showalter   incited by george h  w  bush  the very well cast michael ian black  ,and there s another battily villainous plot involving ronald reagan  also mr  showalter   now abetted by george h  w  bush  a well inhabited impression by michael ian black  ,88.620255,0.8073684
77,77,Islamisté dostali ve Velké Británii doživotí za přípravu atentátu.,islamists have been given a life sentence in the uk for preparing an assassination ,islamists receive a life sentence in the uk for planning an attack ,56.730522,-0.5902037
78,78,Na programu tohoto týdne jsou tři hlavní příběhy.,there are three main stories on this week s agenda ,for this week s edition riodoce was looking at three main stories ,98.306305,1.231861
79,79,Hnutí Děti Země-Klub za udržitelnou dopravu z Brna totiž podalo rozklad.,the children of the earth club movement for sustainable transport from brno has brought decay ,d ti zem   an organisation from brno fighting for sustainable transport  has put a halt on the works ,85.37329,0.66506976
80,80,"""Do přenesených dat by se vešlo desítky miliónu fotografií,"" upřesnila podrobnosti ředitelka mobilního segmentu v O2 Silvia Cieslarová.",tens of millions of photographs would fit into the transferred data   the director of the mobile segment at o  silvia cieslar said ,tens of millions of photographs were transferred with the data   said silvia cieslarov   director of the o  mobile department ,84.09044,0.6088486
81,81,Profesor Severozápadní univerzity a zaměstnanec Oxfordské univerzity hledáni za vraždu,northwestern university professor and oxford university employee wanted for murder,northwestern professor and oxford university employee wanted for homicide,88.44898,0.7998624
82,82,Mláďata všech tří druhů se v zoo živí myšími holaty.,cubs of all three species feed on mouse holats at the zoo ,the young of all three species are fed with mice in the zoo ,51.459206,-0.8212199
83,83,"Zobrazuje Manningovou, kterak se vynořuje na způsob King Konga z věznice United States Disiplinary Barracks s megafonem v ruce.",it depicts manning emerging in the manner of king kong from the united states disiplinary barracks with a megaphone in his hand ,it shows manning  emerging  king kong esque  from the united states disiplinary barracks with a speakerphone in hand ,63.401215,-0.29785964
84,84,Donald Trump musel snížit cenu svého karibského sídla o neuvěřitelných 8 milionů liber.,donald trump has had to cut the price of his caribbean mansion by an incredible    million ,donald trump had to slash the price of his caribbean home by an incredible    million ,84.74002,0.6373166
85,85,"Vůbec o tom nepřemýšlím, vždyť my v té vládě asi ani nebudeme, nikdo s námi nechce spolupracovat, i když nevím, co tak hrozného jsem udělal.",i don t think about it at all  we probably won t be in the government  no one wants to cooperate with us  even though i don t know what i ve done ,i m not thinking about it at all  we will probably will not end up in government  nobody wants to cooperate with us  even though i do not know what i ve done that s so terrible ,77.68927,0.32831645
86,86,V zahraničí Češi spotřebují více ze svého tarifu než doma.,abroad  czechs consume more of their fare than at home ,czechs consume more of their tariffs abroad than at home ,22.811249,-2.0767207
87,87,"Také podle dalšího nájemníka, jehož citovala agentura Reuters, oheň vypukl v nejvyšších patrech a šířil se dolů s padajícími žhavými troskami.",also  according to another tenant quoted by reuters news agency  the fire broke out in the top floors and spread down with falling hot debris ,moreover  according to another tenant quoted by reuters  the fire broke out on the top floors and spread downwards  with glowing debris falling down ,94.38527,1.060021
88,88,"""Nemůže jako čtvrtá instance posuzovat skutková nebo právní pochybení, kterých se údajně dopustily obecné soudy, jestliže nepředstavují porušení ústavně chráněných práv a svobod,"" stojí v usnesení.",it cannot  as a fourth instance  assess factual or legal errors allegedly committed by ordinary courts if they do not constitute a violation of constitutionally protected rights and freedoms   the order reads ,it cannot assess the factual or legal misconduct allegedly committed by the ordinary courts for a fourth time if it does not constitute a violation of constitutionally protected rights and freedoms   the resolution states ,76.90561,0.29397237
89,89,Mrakodrap The Torch byl postaven v roce 2011 a tehdy se stal se svými 352 metry nejvyšší obytnou budovou světa.,skyscraper the torch was built in      and that s when it became  with its     metres  the world s tallest residential building ,the torch skyscraper was built in      and was then the highest residential building in the world  at     metres tall ,89.00652,0.8242967
90,90,"Celá rozvětvená rodina se semkla, aby Karlovi usnadnila život.",the whole branched family came together to make karl s life easier ,the whole branch of the family has come together to make life easier for karel ,85.23209,0.6588818
91,91,"Celkem je naplánováno osmnáct tréninků do 20. srpna, načež začínají formální přípravy na první zápas proti týmu Texas A&M, který se koná v září.",in total  eighteen training sessions are scheduled until august     whereupon they begin formal preparations for the first game against the texas a   m team  which takes place in september ,they are scheduled to hold    practices through aug     before beginning formal game preparations for their opener against texas a m on sept ,87.05099,0.73859507
92,92,"Příkladem, který mluví za vše, je čínská vízová politika.",the example that speaks for all is china s visa policy ,one particularly indicative example is the chinese visa policy ,70.643105,0.019517222
93,93,"Totéž platí o vládě, kterou v naší historii řídili jen dva lidé, Klaus a Zeman.",the same is true of a government that only two people have managed in our history  klaus and zeman ,the same applies to the government  which has only been governed by two people in our history  klaus and zeman ,67.60263,-0.11373199
94,94,Šéf EPA Scott Pruitt o odkladu plánovaných směrnic ke snížení emisí Obamovy administrativy,epa chief scott pruitt on postponing planned directives to reduce obama administration emissions,epa chief pruitt backtracks on delaying obama era rules to reduce emissions,89.305214,0.83738685
95,95,Stínová ministryně zdravotnictví Sharon Hodgsonová řekl: ‚Začátek zkušebního období PrEP je vítanou a dlouho očekávanou změnou po měsících odkladů a zdržování ze strany vlády.,shadow health secretary sharon hodgson said   the start of the prep test period is a welcome and long awaited change after months of delays and delays by the government ,shadow public health minister sharon hodgson said   the start of the prep trial is welcome and long overdue after months of delays and heel dragging by the government ,94.23387,1.053386
96,96,"Chtěli jsme alespoň neprohrát, zvednout si sebevědomí, abychom se měli od čeho odrazit do dalších zápasů.",we wanted to at least not lose  lift our confidence so we have something to bounce back from in the next matches ,we wanted to avoid losing at least  so as to build up our self confidence to get something out of it for the next match ,51.917305,-0.80114365
97,97,"Podstata problému zůstává stejná, a tak si dovolím stěžejní pasáže článku připomenout.",the nature of the problem remains the same  and so i allow myself to remind myself of the central passage of the article ,the essence of the problem remains the same  and so i ll refer to the key passage of the article ,14.929186,-2.4221535
98,98,"Naposledy jí padl do náruče její bývalý milenec Michal Dlouhý, s nímž žila tři roky.",the last time she fell into her arms was her former lover  michal long  with whom she had lived for three years ,last time  her former lover michal dlouh   who lived with her for three years  fell into her arms ,87.77226,0.770205
99,99,A s odlivem zákazníků zkrachuje celá společnost.“,and with a cast of customers  the whole company goes bust   ,and when you lose customers  you re going to lose companies  ,44.615486,-1.1211469
100,100,"My máme na pozemku vzrostlé stromy, takže jsme pod nimi.",we have raised trees on the property  so we re under them ,we have fully grown trees on the land  so we can stay underneath them ,89.85379,0.8614283
