,Unnamed: 0,source,reference,translation,avg-score,z-score
22,22,"Me Naiset magazine tested what the price of a pineapple, artichoke, mushroom, broccoli and cauliflower is after any unnecessary parts are removed.",me naiset lehti testasi  mik  on pineomenan  artichoken  sienen  broccolin ja kukkakaalin hinta sen j lkeen  kun kaikki tarpeettomat osat poistetaan ,me naiset testasi  miten hinta muuttuu  kun ananaksesta  latva artisokasta  herkkusienist   parsakaalista ja kukkakaalista ottaa lehdet tai kannat pois ,36.573006,-0.5860816
23,23,"Neymar's transfer to PSG will have an impact on the club's finances for several years, but this impact cannot be evaluated beforehand.",neymarin siirto psg  hen vaikuttaa seuran talouteen useita vuosia  mutta vaikutusta ei voi arvioida etuk teen ,neymarin siirto psg hen vaikuttaa seuran talouteen useiden vuosien ajan  mutta vaikutusta ei voida arvioida etuk teen ,46.950035,-0.100423545
24,24,In experiments it was found a kind of tolerance-promoting immune cell appears in mice that carry a specific bacterium in their guts.,kokeissa havaittiin  ett  hiirill  esiintyy er  nlainen suvaitsevaisuutta edist v  immuunisolu  joka kantaa erityist  bakteeria kiviss  n ,kokeissa havaittiin  ett  sietokyky  vahvistavia immuunisoluja on hiirill   joiden suolistossa on tietty  bakteeria ,46.864586,-0.10442267
25,25,One reason for obtaining funding from the EIB was the impact MariaDB has on public IT procurement.,yksi syy saada rahoitusta eip lt  oli mariadb n vaikutus julkisiin tietotekniikkahankintoihin ,yksi syy eib n rahoitukseen oli mariadb n vaikutus julkisiin it hankintoihin ,29.941057,-0.8964652
26,26,"By algorithmically analyzing DNA extracted from Manning and using it to create 30 portraits of what someone with that genomic data might look like, Dewey-Hagborg has created a trenchant, if somewhat cerebral, commentary on not only the malleability of DNA data - the many ways it can be interpreted, and the inherent determinism of those interpretations - but also identity.",kun algoritmi analysoida dna louhittu manning ja k ytt m ll  sit  luoda    kuvaa siit   mit  joku  jolla on  ett  genominen data voisi n ytt    dewey hagborg on luonut trenchant  jos hieman cerebral ,dewey hagborg analysoi manningin dna ta algoritmisesti ja loi h nen geenitietojensa perusteella    muotokuvaa  ne ovat ter v   joskin hieman teoreettinen kannanotto dna tietojen muokattavuuteen  monitulkintaisuuteen ja tulkintojen taustalla oleviin syy seuraussuhteisiin sek  identiteettiin ,64.70087,0.7303378
27,27,So she called in outsiders for help.,niinp  h n soitti ulkopuolisille apua ,errett p  tti turvautua ulkopuoliseen apuun ,30.028467,-0.8923743
28,28,"In fact, Paniai suffered a nadir just two months after Jokowi's October inauguration.",paniaomi nimitt in k rsi nadosta vain kaksi kuukautta jokowin lokakuun virkaanastujaisten j lkeen ,paniailla koettiin jonkinlainen aallonpohja vain kaksi kuukautta jokowin lokakuisten virkaanastujaisten j lkeen ,64.49422,0.7206663
29,29,Fleet-footed tortoise escaped again from a Japanese zoo,alusvaatekilpikonna pakeni j lleen japanilaisesta el intarhasta,vikkel  konna karkasi toistamiseen japanilaisesta el intarhasta,32.728737,-0.76599824
30,30,"Justice, who is the only billionaire in the state, according to Forbes, was elected in 2016.",oikeus  joka on valtion ainoa miljard  ri  valittiin forbesin mukaan vuonna      ,justice valittiin kuvern  riksi vuonna       forbesin mukaan h n on osavaltionsa ainoa miljard  ri ,69.00608,0.93182725
31,31,"He does not seem to be interested in a rematch with Helenius, as he has his eyes set on Dillian Whyte.",h n ei n yt  olevan kiinnostunut uusintaottelusta heleniuksen kanssa  sill  h nell  on silm t kiinni dillian whyten kanssa ,h nt  ei kaikesta p  tellen kiinnosta uusintaottelu heleniuksen kanssa  vaan t ht imess  on dillian whyte ,62.364525,0.62099403
32,32,"Danish-Norwegian Amalie Iuel has become a highly popular athlete in her current home country Norway, not least because she broke the 26-year-old Norwegian record in 400 metres by crossing the line at 51.81.",tanskalais norjalaisesta amalie iuelista on tullut eritt in suosittu urheilija nykyisess  kotimaassaan norjassa  eik  v hiten siksi  ett  h n rikkoi    vuotiaan norjan enn tyksen     metrill  ylitt m ll  rajan       ,tanskalais norjalainen amalie iuel on noussut nykyisess  kotimaassaan norjassa suosituksi urheilijaksi  ei v hiten siksi  ett  h n rikkoi maaliskuussa    vuotta vanhan norjan enn tyksen     metrin juoksussa kiert m ll  ratakierroksen aikaan       ,56.916214,0.3660062
33,33,"Since arriving in Washington, Pruitt has repeatedly moved to block or delay regulations opposed by the chemical and fossil-fuel industries.",sen j lkeen  kun saapuu washington  pruitt on toistuvasti siirretty est   tai viiv stytt   asetuksia vastustaa kemian ja fossiilisten polttoaineiden teollisuuden ,washingtoniin tulonsa j lkeen pruitt on toistuvasti yritt nyt est   tai viiv stytt   kemianteollisuuden ja fossiilisia polttoaineita k ytt vien teollisuudenalojen vastustamien p  t sten toimeenpanon ,50.56996,0.06899358
34,34,"In addition to our sense of taste, she has opened up our hearts and minds.",makuaistimme lis ksi h n on avannut syd memme ja mielemme ,h n on avannut makuaistimme lis ksi ajatuksemme ja syd memme ,61.380753,0.57495224
35,35,"They have one child, Kaya, born in 2014.",heill  on yksi lapsi  kaya  syntynyt vuonna      ,pariskunnalla on yksi lapsi  vuonna      syntynyt tyt r kaya ,82.66853,1.5712472
36,36,"Those eligible for the treatment include gay or bisexual men, transgender people and those with HIV-positive partners who are not successfully receiving treatment.",hoitoon oikeutettuja ovat homo  tai biseksuaalit  transsukupuoliset ihmiset ja ne  joilla on hiv positiivisia kumppaneita  jotka eiv t saa onnistuneesti hoitoa ,hoidon kohderyhm  n kuuluvat homomiehet  biseksuaaliset miehet ja transsukupuoliset sek  ihmiset  joilla on hiv positiivinen kumppani  joka ei saa tehokasta hoitoa ,73.08322,1.1226425
37,37,The success of Rwanda has made many Africans doubt whether a liberal multi-party democracy is the right way for African states.,ruandan menestys on saanut monet afrikkalaiset ep ilem  n  onko liberaali monipuoluedemokratia oikea tapa afrikan valtioille ,ruandan menestys on saanut monet afrikkalaiset kysym  n  onko liberaali monipuoluedemokratia oikea malli afrikkalaisille valtioille ,64.25926,0.7096701
38,38,"On Thursday, the District Court of Minneapolis in the United States sentenced 41-year-old Maxim Senakh to nearly four years of imprisonment for his involvement in a global computer fraud.",yhdysvaltain minneapolisin k r j oikeus tuomitsi torstaina    vuotiaan maxim senakhin l hes nelj ksi vuodeksi vankeuteen osallisuudesta maailmanlaajuiseen tietokonepetokseen ,minneapolisin oikeusistuin yhdysvalloissa tuomitsi torstaina    vuotiaan maksim senahin liki nelj ksi vuodeksi vankeuteen osallisuudesta maailmanlaajuiseen tietokonehuijaukseen ,76.6164,1.2879999
39,39,He's shown a steady hand in leading his state and a stern adherence to principles.,h n on osoittanut tasainen k si johtaa h nen valtion ja tiukka noudattaminen periaatteita ,h n on johtanut osavaltiota vakaasti ja pit nyt tiukasti kiinni periaatteista ,71.40004,1.0438675
40,40,"Earlier, Suur-Hamari had also won the cross event.",aiemmin suur hamari oli voittanut my s cross tapahtuman ,suur hamari voitti aiemmin kisoissa my s crossin mm kullan ,64.18882,0.70637333
41,41,"""These World Championships have been pretty amazing!",n m  mm kisat ovat olleet aika h mm stytt vi  ,aika uskomattomat mm kisat ,41.199844,-0.36953974
42,42,"On her last jump, she attempted caballerial 1080 for the first time in a competition, and very nearly made it.",h nen viimeinen hyppy  h n yritti caballerial      ensimm ist  kertaa kilpailussa  ja hyvin l hes teki sen ,h n yritti viimeisell  hypyll  n caballerial      t  ensi kertaa kisoissa  ja se oli hyvin l hell  onnistua ,45.116096,-0.18625419
43,43,Ms De Lutis and her late husband Luigi were Italian immigrants who ran milk bars and delicatessens from the late 1950s and in the early 1970s bought a shop in Brunswick.,de lutis ja h nen edesmennyt miehens  luigi olivat italialaisia maahanmuuttajia  jotka ajoivat maitobaareja ja herkkuja      luvun lopusta l htien ja      luvun alussa ostivat myym l n brunswickiin ,anna de lutis ja h nen edesmennyt aviomiehens  luigi olivat italialaisia siirtolaisia  jotka perustivat maitobaareja ja herkkukauppoja      luvun lopulla       luvun alussa he ostivat kaupan brunswickista ,24.34483,-1.1583757
44,44,"""The police just killed an 18 year old kid and he's still laying in the street,"" it read.",poliisi vain tappoi    vuotiaan kitaran ja h n on yh  kadulla   siin  luki ,poliisi tappoi juuri    vuotiaan nuoren  ja h nen ruumiinsa on edelleen kadulla  ,21.948486,-1.2705276
45,45,"""When I turned around I suddenly got shot in my left wrist,"" he told TIME on the porch of his brightly painted wooden house.",kun k  nnyin ymp rilleni  p  sin yht kki  ampumaan vasemmalla puolellani   h n kertoi time lle kirkkaasti maalatun puutalon portista ,kun k  nnyin ymp ri  minua ammuttiin vasempaan ranteeseen   h n kertoi time lehdelle kirkkaanv riseksi maalatun puutalonsa kuistilla ,29.225952,-0.929933
46,46,"Italian Piccareta has previously worked as an assistant coach, for example, in Sunderland in the UK.",italialainen piccareta on aiemmin ty skennellyt apuvalmentajana muun muassa sunderlandissa yhdistyneess  kuningaskunnassa ,italialainen piccareta on toiminut apuvalmentajana aiemmin muun muassa englantilaisessa sunderlandissa ,56.745483,0.3580158
47,47,This trial will take us one step closer to fully understanding the benefits of PrEP.,t m  oikeudenk ynti vie meid t askeleen l hemm s sit   ett  ymm rr mme t ysin prepin edut ,kokeilu auttaa meit  ymm rt m  n entist  paremmin prep l  kkeen todellisia hy tyj  ,69.183075,0.9401108
48,48,"Having had a notable career as an author, Raija Oranen has nothing but good memories of the 44-episode Puhtaat valkeat lakanat series which touched and moved Finnish viewers during the recession of the 1990s.",tehty  n merkitt v n uran kirjailijana raija oranen on vain hyvi  muistoja    episodista puhtaat valkeat lakanat  sarjasta  joka kosketti ja liikutti suomalaisia katsojia      luvun laman aikana ,mittavan kirjailijauran tehnyt oranen muistaa vain hyv ll     osaista puhtaat valkeat lakanat tv sarjaa  joka kosketti ja liikutti lama ajan suomea ,20.82154,-1.3232701
49,49,"There is no respite from the violence, and as bodies pile up across the country, more and more of them are journalists: at least 25 since President Enrique Pena Nieto took office in December 2012, according to the Committee to Protect Journalists; 589 under federal protection after attacks and threats; and so far this year, at least seven dead in seven states.",v kivallasta ei ole heng hdystaukoa ,v kivalta on taukoamatonta  ja yh  useammin iskujen kohteina ovat toimittajat  toimittajien suojelukomitean mukaan ainakin    toimittajaa on murhattu sen j lkeen  kun presidentti enrique pe a nieto astui virkaan joulukuussa       liittovaltion suojeluksessa on     hy kk ysten ja uhkausten kohteeksi joutunutta toimittajaa  kuluvana vuonna on murhattu ainakin seitsem n toimittajaa seitsem ss  osavaltiossa ,67.981544,0.88387764
50,50,News of the killings only filtered through to Jakarta the following day.,uutiset surmista suodatettiin vasta seuraavana p iv n  jakartaan ,tieto surmista kantautui jakartaan seuraavana p iv n  ,60.26223,0.522604
51,51,"Even though many have heard of Widenius and the billion dollar MySQL deal, not many in Finland know anything about MariaDB.",vaikka moni on kuullut wideniuksen ja miljardin dollarin mysql sopimuksesta  ei moni suomessa tied  mariadb st  mit  n ,vaikka moni on kuullut wideniuksesta ja mysql n miljardikaupasta  harva suomalainen tiet   mit  n mariadb st  ,24.624174,-1.145302
52,52,"At midnight on a recent Friday, with the latest issue already put to bed, Riodoce editors sat on the sidewalk outside the office, drinking beer, when all at once, their phones began to buzz.",keskiy ll  viime perjantaina  kun viimeisin asia on jo pantu nukkumaan  riodoce editors istui sivuk velyll  toimiston ulkopuolella  juoda olutta  kun kaikki kerralla  heid n puhelimensa alkoi buzz ,jokin aika sitten riodocen toimittajat istuivat perjantaina keskiy ll  toimituksen edess  jalkak yt v ll  oluella  kun lehden uusin numero oli saatu valmiiksi   kki  heid n puhelimensa alkoivat v rist  viestin merkiksi ,21.5182,-1.2906655
53,53,"In minutes of the rates decision, the Bank said: ""In the MPC's central forecast, gross domestic product (GDP) remains sluggish in the near-term as the squeeze on households' real incomes continues to weigh on consumption.""",korkop  t ksen minuuteissa pankki totesi  ett   mpc n keskusennusteessa bruttokansantuote  bkt  pysyy verkkaisena l hitulevaisuudessa  kun kotitalouksien reaalitulojen puristaminen painaa edelleen kulutusta  ,pankin korkop  t ksen p yt kirjassa todetaan seuraavaa   rahapolitiikasta vastaavan toimikunnan ennusteen mukaan bruttokansantuotteen hidas kehitys jatkuu l hivuosina  kun kotitalouksien reaalitulojen lasku pienent   kulutusta  ,75.752495,1.2475679
54,54,"This week, Princess Sofia of Sweden made a visit to Båstad, Sweden.",ruotsin prinsessa sofia vieraili t ll  viikolla ruotsin b stadissa ,ruotsin prinsessa sofia on vieraillut t ll  viikolla ruotsin b stadissa ,35.423134,-0.63989705
55,55,"""I've carried out slow aerobic exercises to return my metabolism back to normal.",olen tehnyt hitaita aerobisia harjoituksia palauttaakseni aineenvaihduntani takaisin normaaliksi ,olen tehnyt monipuolisesti rauhallisia aerobisia harjoituksia  joilla olen pyrkinyt normalisoimaan elimist n aineenvaihduntaa ,80.03859,1.4481626
56,56,"PSG is owned by Qatar Sports Investment, a state-owned company from Qatar.",psg n omistaa qatar sports investment  joka on qatarin valtion omistama yhti  ,psg n omistaa valtio omisteinen qatarilaisyhti  qatar sports investment ,68.797226,0.92205256
57,57,I remember when I was that young that everything was new and I was insanely excited about everything.,muistan  kun olin niin nuori  ett  kaikki oli uutta ja olin  lytt m n innoissani kaikesta ,muistan  kun itsekin oli siin  vaiheessa  ett  kaikki oli uutta ja oli niin sairaan innoissaan kaikesta ,61.48723,0.57993543
58,58,Tyson Fury beat him by the unanimous decision of the judges in November 2015.,tyson fury p ihitti h net tuomareiden yksimielisell  p  t ksell  marraskuussa      ,tyson fury l i h net pistein marraskuussa      ,57.193634,0.37898982
59,59,"If an opportunity presents itself, I must be ready to take it.",jos tilaisuus tarjoutuu  minun on oltava valmis siihen ,jos tulee tilaisuus  l hden toki itse viem  n tonttiin ,-2.9986992,-2.4380872
60,60,"By Wednesday, there have been 18,386 flashes this year.",keskiviikkoon menness  s ili it  on t n  vuonna ollut        ,keskiviikkoon menness  t m n vuoden salamam  r  oli kohonnut        salamaan ,47.061935,-0.095186464
61,61,Luukkainen is also the president of the Negotiation Organisation for Public Sector Professionals (JUKO).,luukkainen on my s julkisen sektorin yritt jien neuvotteluj rjest n  juko  puheenjohtaja ,luukkainen on my s julkisalan koulutettujen neuvotteluj rjest n jukon puheenjohtaja ,26.861673,-1.0405842
62,62,"Whatever the combination of circumstances, it's absolutely brilliant.""",mik  tahansa yhdistelm  olosuhteet  se on aivan loistava   ,kyseess  on kuitenkin jotakin aivan mahtavaa  mist  se sitten johtuukaan  ,61.090263,0.56135696
63,63,The suspect left the shop after making his threats.,ep ilty poistui myym l st  tehty  n uhkauksensa ,ep ilty l hti kaupasta uhkailujen j lkeen ,58.816025,0.45491976
64,64,"In a statement issued Wednesday evening, Pruitt suggested his about-face on ozone standards simply reinforced the EPA's commitment to working with states through the complex process of meeting the new standards on time.",keskiviikkoiltana antamassaan lausunnossa pruitt ehdotti  ett  h nen noin kasvot otsoninormeja yksinkertaisesti vahvistaa epa n sitoutumista yhteisty h n valtioiden kautta monimutkainen prosessi t ytt   uudet standardit ajoissa ,keskiviikkoiltana annetussa lausunnossa pruitt v itti  ett  h nen t ysk  nn ksens  otsonis  nn sten suhteen vain vahvistaa epa n yhteisty t  osavaltioiden kanssa monimutkaisessa prosessissa  jonka tavoitteena on uusien vaatimusten t ytt minen aikataulun mukaisesti ,62.419876,0.6235845
65,65,The shed of roughly 50 square metres burned to the ground.,noin    neli metrin kokoinen valtti paloi maan tasalle ,noin viidenkymmenen neli metrin kokoinen ulkorakennus paloi maan tasalle ,20.734568,-1.3273405
66,66,"Lazarus's great imaginative act was to see it as it would be seen by exhausted, wretched but hopeful people on the decks of ships after long and often dreadful journeys.",lazaruksen suuri mielikuvituksellinen teko oli n hd  se sellaisena kuin se n ht isiin uupuneilla  kurjilla mutta toiveikkailla ihmisill  laivoilla pitkien ja usein hirvitt vien matkojen j lkeen ,lazarus n ki sen niin kuin k yh t ja uupuneet mutta toiveikkaat maahanmuuttajat laivan kannelta pitk n ja koettelevan matkan j lkeen ,19.56784,-1.3819448
67,67,A court filing says this translates to Colin owning property worth $316 million and Paul $176 million.,tuomioistuimen hakemuksen mukaan t m  tarkoittaa colin omistaa omaisuuden arvo     miljoonaa dollaria ja paul     miljoonaa dollaria ,oikeuden asiakirjojen mukaan omaisuuden jakosuhde tarkoittaa  ett  colin omistaa kiinteist j  noin     miljoonan dollarin arvosta ja paul noin     miljoonan dollarin arvosta ,56.526993,0.34779015
68,68,"He knows how to wrestle. After all, he has won the World Jiu-Jitsu Championships.""",h n tiet    miten voittaa ,h n on voittanut jujutsun maailmanmestaruuden  joten h n osaa painia ,25.197775,-1.1184567
69,69,"He's played the part of the head Klansman for years, but he said the role never gets any easier.",h n on ollut osa p  n klansman vuosia  mutta h n sanoi rooli ei koskaan saa yht  n helpompaa ,h n on esitt nyt uudelleenlavastuksessa paikallista ku klux klanin johtajaa jo vuosia  mutta rooli on aina yht  vaikea ja vastenmielinen ,57.195923,0.37909693
70,70,"Gobai says the Paniai people, like other Papuans, consider their vote to Jokowi as a ""debt"" he must repay.",gobain mukaan paniait  kuten muutkin papualaiset  pit v t   ni  n jokowille  velaksi   joka h nen on maksettava takaisin ,gobain mukaan paniailaiset  kuten muutkin papualaiset  pit v t jokowille antamiaan   ni   velkana   joka on maksettava takaisin ,42.160088,-0.32459912
71,71,"A day before Audi's announcement, BMW said it would offer to upgrade the software in more than 350,000 vehicles.",p iv   ennen audin ilmoitusta bmw kertoi tarjoavansa ohjelmiston p ivitt mist  yli       ajoneuvolla ,p iv  ennen audin ilmoitusta bmw tarjoutui p ivitt m  n yli         auton ohjelmiston ,70.22318,0.98878914
72,72,"Hannu Manninen's Olympic project starts with a huge setback – ""It's tough""",hannu mannisen olympiaprojekti alkaa huikealla takaiskulla    se on rankkaa ,hannu mannisen olympiaprojekti alkoi valtavalla takaiskulla    kova paikka ,44.811462,-0.20051144
73,73,"On Monday, first-degree murder warrants without bail were issued for Wyndham Lathem, 42, and Andrew Warren, 56, for their alleged involvement in the death of Trenton H. James Cornell-Duranleau, Cook County court records show.",wyndham lahe      ja andrew warren      saivat maanantaina ensimm isen asteen murhat ilman takuita  koska heid n v itettiin osallistuneen trenton h  james cornell duranleaun kuolemaan ,cookin piirikunnan oikeuden asiakirjoista k y ilmi  ett  maanantaina annettiin pid tysm  r ykset wyndham lathemista      ja andrew warrenista      joita ep ill  n osallisuudesta trenton h  james cornell duranleaun kuolemaan  pid tysm  r ykset on annettu ensimm isen asteen murhasta ilman mahdollisuutta vapautua takuita vastaan ,79.11881,1.4051158
74,74,"For the mezzanine, a vintage copper light window from Retrouvius looks down over the glamorous living area below.",mezzanine  vintage kuparinen valoikkuna retrouvius n ytt   alas glamoroisen asuinalueen alapuolella ,v likerroksessa avautuu retrouviuksen kupariristikkoinen ikkuna tyylikk  seen oleskelutilaan ,4.105723,-2.1055913
75,75,"""The important thing is to stay healthy"", emphasises Nummela-based Manninen who won the gold medal in the team event in Salt Lake City in 2002.",t rkeint  on pysy  terveen    korostaa nummela l ht inen manninen  joka voitti kultamitalin joukkuetapahtumassa salt lake cityss  vuonna      ,nyt t rkeint  on pysy  terveen   salt lake cityss       kultaa joukkuekilpailussa juhlinut nummelalainen alleviivaa ,70.77445,1.0145892
76,76,The route drawn by the airliner over the United States was shown by the Flightradar24 service.,ilmavoimien k ytt m  reitti yhdysvaltoihin n kyi flightradar   palvelussa ,koneen lent m  reitti piirtyi yhdysvaltain ylle flightradar   n palvelussa ,62.47873,0.62633896
77,77,The audience is almost evenly split between black and white.,yleis  jakautuu l hes tasaisesti mustavalkoiseksi ,yleis st  melkein tasan puolet on mustaihoisia ja puolet valkoihoisia ,40.714706,-0.3922448
78,78,Neymar bought out of Barcelona – the Brazilian star signed a five-year deal with PSG,neymar osti ulos barcelonasta   brasilialaist hti allekirjoitti viiden vuoden sopimuksen psg n kanssa,neymar ostettiin ulos barcelonasta   brassit hti solmi viiden vuoden sopimuksen psg n kanssa,52.808723,0.17377047
